PredictionID,Teaser,Prediction,Feedback questions
1,Professional life,Everything seems to fall into their proper place today and all your endeavour will meet with success. ,Did you have a successful day?
2,Professional life,Try to guard against the tendency to take risks without checking out the opportunities in depth.,Did you guard well against all your risks today?
3,Personal life,A sudden unexpected encounter may catch you off guard today.,Did you have a good day?
4,Personal life,Get some much needed pampering and rest if you want to continue to be productive.,Did you have a pampered day?
5,Personal life,Driving yourself too hard too fast can end up being harmful to your physical health.,Did you have a tiring day?
6,Personal life,"Give yourself a break. You've done everything possible, and you can't do any more. Now take a deep breath, and do something nice for yourself.",Did you have a relaxing day?
7,Social life,Enjoy your social life now and get in touch with old friends or family members from whom you have not heard for a long time. ,Did you meet some old friend today?
8,Love life,Romantic opportunities are all around you today.,Did you have a romantic day?
9,Personal life,Unexpected monetary gains are on the cards for you today.,Did you earn some unexpected money today?
10,Professional life,"This is not the best time to schedule any activity that calls for tact, diplomacy, or caution, as you are inclined to be extremely straightforward, direct, and to the point in all of your interactions.",Did you have a tough day?
11,Professional life,You have been impulsive in decision making for quite some time. But today you will realize the importance of planning and a meticulous approach.,Did you have a good day?
12,Professional life,"It is never too late to start planning. With planning, you will also see yourself carrying proper execution of plans.",Did you plan and execute your day well today?
13,Love life,You have been keeping things to yourself. It’s time that you open up to your partner. ,
14,Professional life,The day is going to be demanding and you have to follow a strict regulation and out in lot of hard work.,
15,Professional life,"Be careful, you are likely to take on responsibilities on behalf of a colleague as well.",Did you have a tiring day?
16,Personal life,You will want to follow up on mysterious matter today and you are likely to watch a mystery film or read a mystery novel.,Did you watch or read something interesting today?
17,Personal life,The day is perfect to indulge in some special time for yourself. ,Did you get some time for yourself today?
18,Health,You are likely to get some good news regarding your health and fitness.,Are you feeling healthy today?
19,Personal life,The goddess of solar system and the planets which bring a sense of nurturing are shining in your sign today.,Did you have a successful day?
20,Love life,Give your love a comforting feel. Make your love feel important.,
21,Professional life,This is the time when your persistence and hard work will pay off.,
22,Professional life,You will be noticed by your superiors and will be offered better scope.,Did you get some good oportunities today?
23,Professional life,Your career is poised to take off right now. Be sure to utilize this opportunity to its fullest extent.,Did you get some good oportunities today?
24,Personal life,There is so much action around you that is eating your attention and time. Do not waste your time in trivial matters.,Could you utilize your time well today?
25,Personal life,Do not shy away. Look carefully and act before it’s too late. The key to success for you is to prioritize.,
26,Personal life,Relaxation is on your cards today.,Did you have a relaxing day?
27,Personal life,Second half of the day may be hectic with guests pouring in or you visiting people.,Did you meet a lot of people today?
28,Love life,The planets line up today to make you feel very romantic and emotional.,Did you have a romantic day?
29,Love life,"If you want to preserve your romantic partnership, you must act on it today.",Did you have a romantic day?
30,Personal life,You are your best critic. Analyze your situation and act accordingly.,Did you have a good day?
31,Personal life,Today you need to motivate yourself to remain on track.,Did you have a productive day?
32,Professional life,Today you may be entrusted with bigger responsibilities. Be prepared.,Did you have a responsible day?
33,Financial matters,"You have time at your side. Plan investing, do research work and go for it.",Did you invest well today?
34,Personal life,You may be taken by surprise today that the person you have been confiding into has spread bad words about you.,Did you have a good day?
35,Social life,You may find a true friend near you. It can be your spouse or your parents.,Did you have a good day?
36,Professional life,Today you are upbeat physically and psychologically. Boost in your morale will reflect in your work. ,Did you have a good day at work?
37,Love life,This is the time to enjoy light side of relationships.,Did you have a romantic day?
38,Love life,"You have always been of a serious nature, but you are now over-thinking your relationships.",Did you have a romantic day?
39,Personal life,"Stop looking for hidden meanings and deeper implications in everything. Instead, go out for light-hearted banter and just enjoy a good time.",Did you have a good day?
40,Love life,Do not let pressure of responsibilities and expectations take all the fun out of your relationships.,Did you have a romantic day?
41,Social life,This is a great time to make conversations with people of great influence.,Did you have a fruitful day?
42,Professional life,Establish as many connections as you can if you want to reach to a better place or upgrade your current position.,Did you have a fruitful day?
43,Financial matters,You do not seem hopeful of striving the best opportunities to multiply your wealth. But be hopeful and keep striving for the same cause you can make it!,Did you have a fruitful day?
44,Personal life,"Today, you need to realize that being a prisoner of the past is not going to help you in any way. ",Did you have a good day?
45,Personal life,Today you can take a giant step towards solving the major problems that you have been facing in your life.,Did you have a challenging day today?
46,Health,Stomach ailments have a high chance of occurring today. You have to take special precaution against drinking water and other fluids because the chances of a waterborne disease are high.,Did you have a healthy day today?
